epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1916.12,1.25336,3.47415,1.36382,0.19443,0.15235,0.12538,0.07698,1.20594,2.74522,1.25404,0.000999454,0.000333151,0.000999454,0.000333151,0.000999454,0.000333151,0.000999454,0.000333151
2,3556.87,1.27461,2.76572,1.37335,0.32971,0.23266,0.23484,0.15743,1.19454,2.21959,1.2648,0.00150459,0.00050153,0.00150459,0.00050153,0.00150459,0.00050153,0.00150459,0.00050153
3,5078.96,1.2957,2.37416,1.38634,0.35148,0.29628,0.27461,0.17902,1.18435,1.93021,1.25796,0.00151472,0.000504908,0.00151472,0.000504908,0.00151472,0.000504908,0.00151472,0.000504908
4,6613.44,1.25647,2.16466,1.36421,0.3495,0.31241,0.29946,0.19624,1.15255,1.80839,1.22138,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
